Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
25670918414,Ổ Cắm Điện Đa Năng METIS   Chịu Tải 2500W Dài 4m Cổng USB Có Chốt Bấm Chống Giật An Toàn,"69,0k",100k+,DEKO STORE,15%,₫10.350,https://shopee.vn/product/540879723/25670918414,https://s.shopee.vn/14Lqfxv2m
27779420342,"Dụng cụ hút mũi cho bé kéo tay chất liệu nhựa nguyên sinh , lực hút mạnh , an toàn cho bé - PTLUXURY","75,0k",10k+,ĐỒ DÙNG TIỆN ÍCH SG,"6,5%",₫4.500,https://shopee.vn/product/984839978/27779420342,https://s.shopee.vn/BNm2yxHhp
42859545836,Máy Hút Bụi Cầm Tay TAMASHIO Không Dây Nhật Bản 6 Đầu Hút Bảo Hành 12 Tháng SP01,"185,0k",50k+,HÚT BỤI NỘI ĐỊA TRUNG,"17,5%",₫31.450,https://shopee.vn/product/1564606133/42859545836,https://s.shopee.vn/LhCFHweMs
22462146880,Ấm Siêu Tốc Đun Nước Dung Tích 2.5 Lít Bình Siêu Tốc 2 Lớp Cách Nhiệt Tự Ngắt Khi Sôi Công Suất 1500W - ST3,"169,0k",500k+,Gia Dụng Việt_123,"12,5%",₫20.280,https://shopee.vn/product/543219209/22462146880,https://s.shopee.vn/W0cRaw11v
29675368137,Miếng dán cắt tóc kẹp tóc cho bé gái dễ thương cho bé không làm tổn thương tóc,"21,9k",20k+,FashionAcc3.vn,12%,₫2.628,https://shopee.vn/product/483413700/29675368137,https://s.shopee.vn/gK2dtvNgy
27217321644,"SÉT Trang trí tết 2026, dải treo trang trí tết tài lộc ,đồ trang trí tết treo cửa May Mắn Decor Nhà Cửa 2026","125,0k",5k+,HMC_Tổng Kho Gia Dụng Tiện Ích,"6,5%",₫7.500,https://shopee.vn/product/41362412/27217321644,https://s.shopee.vn/qdSqCukM1
21596683519,"Bàn Ủi Hơi Nước Cầm Tay Mẫu Mới Công Suất 1500W Ủi Nhanh Mọi Loại Vải, Gấp Gọn Tiện Lợi Dung Tích 130ml  BH 1 Đổi 1","439,0k",100k+,Bàn Là - Bàn Ủi Hơi Nước Store,15%,₫65.850,https://shopee.vn/product/562152350/21596683519,https://s.shopee.vn/10wt2Vu714
27706747428,"Sạc Dự Phòng 30000mah Sạc Nhanh Màn Hình Led, Tích Hợp 2 Đầu Sạc Tiện Dụng, Sạc Cho Iphone Và Android","210,0k",400k+,HOCO TECK,"14,5%",₫29.400,https://shopee.vn/product/699159587/27706747428,https://s.shopee.vn/1BGJEotTg7
22259515682,Sữa tắm gội cho bé Cetaphil Baby Gentle Wash & Shampoo 400ML & 230ML,"199,0k",9k+,QUEEN BEAUTY STORE,"12,5%",₫23.880,https://shopee.vn/product/4661111/22259515682,https://s.shopee.vn/40aUc1igvg
27877392183,Đèn Led Cành Hoa Đào Trang Trí Nhà Dán Tường 1 Mét 6 72 Bông 8 Chế Độ Sáng,"261,3k",540,Mazichome.vn,"12,5%",₫31.350,https://shopee.vn/product/1472790896/27877392183,https://s.shopee.vn/4AtuoKi3aj
23119593211,[CHÍNH HÃNG ĐỦ 10 MÀU] Khẩu Trang 5D THỊNH PHÁT 3 Lớp Vải Không Dệt Kháng Khuẩn Lọc Bụi Mịn Tia UV,"50,0k",500k+,Hana - Khẩu Trang Thịnh Phát,"14,5%",₫7.000,https://shopee.vn/product/13213141/23119593211,https://s.shopee.vn/4LDL0dhQFm
29519594613,"Combo 25/50/100 bao lì xì Tết 2026, lì xì Chi bi đáng yêu, bao lì xì phản quang dễ thương cho bé","21,0k",6k+,HGB Shop,"11,5%",₫2.310,https://shopee.vn/product/1339468277/29519594613,https://s.shopee.vn/4VWlCwgmup
40111853091,"COMBO 2 Túi Nước GIẶT Hygiene Nhập Khẩu Thái Lan 1800ml/ Túi - Sạch Vết Bẩn, Lưu Hương Thơm Ngát","69,0k",10k+,ECO CLEAN STORE,"24,5%",₫16.560,https://shopee.vn/product/1601387344/40111853091,https://s.shopee.vn/4fqBPFg9Zs
22988002397,Sét phụ kiện trang trí tháp nước/ bánh/ deco ngày tết cực đẹp 2026,"36,3k",50k+,Phụ Kiện A Sơn - Cường Lực,"11,5%",₫3.989,https://shopee.vn/product/169522319/22988002397,https://s.shopee.vn/4q9bbYfWEv
18275218474,"Heo HOT 3D tai vểnh lợn ngậm tiền size nhỏ (C20xD17xR15) | quà tặng, trang trí, ống tiết kiệm tiền TIỆM HEO SODA","49,9k",5k+,Tiệm Heo Đất Soda,"14,5%",₫6.986,https://shopee.vn/product/34463018/18275218474,https://s.shopee.vn/50T1nresty
24503174400,"Ông Thần Tài Lắc Đầu, Ông thần tài gật đầu Trang Trí Tết Size to 38cm (Tặng móc treo + Pin)","99,0k",2k+,1993Smart_Store,"6,5%",₫5.940,https://shopee.vn/product/530447250/24503174400,https://s.shopee.vn/5AmS0AeFZ1
22778518736,"[HÀNG CAO CẤP - KHĂN GIẤY LỚN] Giấy ăn đa sắc Topgia 240 tờ 4 lớp dập vân 4D mềm mịn, thấm hút","65,0k",30k+,TopGia HCM Store,"12,5%",₫7.800,https://shopee.vn/product/1016604648/22778518736,https://s.shopee.vn/2g571ZnldY
49501777565,Đèn Lồng Cầu Điện Xoay 360 Chữ Nổi Lấp Lánh Tiếng Việt Mẫu Mới 2026 Trang Trí Tết,"213,0k",10k+,lazyshop99,"9,5%",₫19.170,https://shopee.vn/product/1482244299/49501777565,https://s.shopee.vn/2qOXDsn8Ib
7958918587,Khăn Tắm Gội Đầu Lau Mặt ROYAL TOWEL 100% Cotton Cao Cấp Bông Dày Thấm Hút Không Đổ Lông Dùng Cho Gia Đình Khách Sạn Spa,"19,0k",900k+,Khăn Bông Cao Cấp ,"16,5%",₫3.040,https://shopee.vn/product/291717098/7958918587,https://s.shopee.vn/30hxQBmUxe
54952213353,Ốp Lưng iPhone Camera Viền Cao Lucky Girl Tết 2026 Chống Sốc Cao Cấp - iP 7/8/X/XS/XR/11/12/13/14/15/16/17/Air/Pro/Max,"16,9k",10k+,SHIN CASE - ỐP LƯNG CƯỜNG LỰC,"14,5%",₫2.366,https://shopee.vn/product/89827191/54952213353,https://s.shopee.vn/3B1NcUlrch
26211641282,"Bộ 4 Cuốn Sách Word - Excel - Powerpoint - 39 Thủ Thuật Phím Tắt, Tặng Video Hướng Dẫn, File Thực Hành, Khoá Học","499,0k",4k+,ANT  BOOK,"24,5%",₫119.760,https://shopee.vn/product/835517576/26211641282,https://s.shopee.vn/3LKnonlEHk
