Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
11526582452,"Tổng hợp đồ chơi nhà tắm cho bé, đồ chơi phun nước trong phòng tắm","79,0k",50k+,Đồ Chơi ZOZO,"7,5%",₫5.530,https://shopee.vn/product/466965128/11526582452,https://s.shopee.vn/8zz5f3uoHA
27602165886,"[ Combo 12 ] Cuộn Túi Nilong 500gr Đen - Tự Phân Hủy, Siêu Dày, Tiện Lợi Cho Gia Đình","27,0k",10k+,HAPPY&HOUSES,"14,5%",₫3.780,https://shopee.vn/product/375938299/27602165886,https://s.shopee.vn/9AIVrMuAwD
25335711978,(KID)Thùng 10 gói khăn ướt Gumi không cồn không parabens cao cấp dành cho em bé.,"102,0k",50k+,Gumivn,"14,5%",₫14.280,https://shopee.vn/product/801176484/25335711978,https://s.shopee.vn/8fMFGRw4x8
49652048371,Sách - Hướng dẫn chẩn đoán và điều trị các bệnh da liễu,"679,0k",8,An Hưng Books,"4,5%",₫27.160,https://shopee.vn/product/493293530/49652048371,https://s.shopee.vn/8pffSkvRcB
29915916036,"COMBO 3 Thảm Nỉ Lau Chân Lông Cừu Mềm Thấm Hút Để Cửa Ra Vào, Nhà Tắm Nhà Bếp -2H9","14,5k",10k+,Gia Dụng 2H,"6,5%",₫870,https://shopee.vn/product/1124996528/29915916036,https://s.shopee.vn/8KjOrpxLd6
29155800986,Nước giặt Hygiene Expert Wash Thái Lan 1800ml siêu sạch siêu thơm hương nước hoa,"98,0k",300k+,Wash & Care,"16,5%",₫15.680,https://shopee.vn/product/717154345/29155800986,https://s.shopee.vn/8V2p48wiI9
29621819566,Thùng 10 gói khăn uớt 80 tờ Gumi không cồn không parabens cao cấp dành cho em bé,"165,0k",40k+,Gumivn,"14,5%",₫23.100,https://shopee.vn/product/801176484/29621819566,https://s.shopee.vn/806YTDycJ4
41721045374,Sách - Giả Đứng Đắn - Tập 1 2 - Bản thường / Bản đặc biệt - AZ Việt Nam,"166,5k",12,HD Manga,"8,5%",₫13.320,https://shopee.vn/product/42988345/41721045374,https://s.shopee.vn/8APyfWxyy7
41317341034,"[GIÁ SỈ] Combo 50-100 Lồng Đèn Giấy Tổ Ong Đỏ Trang Trí Tết 2026 - Decor Nhà Cửa, Quán Cafe, Background Sân Khấu","29,9k",10k+,Happy Decor,"14,5%",₫4.186,https://shopee.vn/product/1613675798/41317341034,https://s.shopee.vn/AKUTFVpjZY
25933721313,"Máy Hút Bụi Giường Nệm  Làm Sạch Bụi Ga Giường, Lông Chó Mèo Cầm Tay Tích Điện UV Diệt Khuẩn","366,0k",100k+,Gwell Store VN,"12,5%",₫43.920,https://shopee.vn/product/718612388/25933721313,https://s.shopee.vn/AUntRop6Eb
27801341187,"Xịt kháng khuẩn dịu da DIZIGONE Baby 300ml: Xịt tay chân, đồ gặm nướu, đồ chơi, đồ dùng của bé, phòng bệnh cho bé","165,0k",40k+,Dizigone Official,"14,5%",₫23.100,https://shopee.vn/product/326118650/27801341187,https://s.shopee.vn/9zrcqtr0FW
43477911654,Sách - Bộ Đề Ôn Thi Lớp 10 Môn Toán Văn Anh Dành Cho Học Sinh Lớp 9 Lên Lớp 10,"170,0k",10,TOBOOK,"4,5%",₫6.800,https://shopee.vn/product/1577779436/43477911654,https://s.shopee.vn/AAB33CqMuZ
41804218701,"[Thùng 300 Cái] Khẩu Trang 5D, Khẩu Trang Chống Tia UV, Khẩu Trang Y Tế Lọc Bụi Mịn, Chống Nắng Hannah Seyo Xanh Việt","99,0k",4k+,Hannah-Seyo HCM,"14,5%",₫13.860,https://shopee.vn/product/1486352761/41804218701,https://s.shopee.vn/9fEmSHsGvU
26970786889,100M Dây Led Nháy Đuổi CHIP 2835 Dây led trang trí tết dây led trang trí ngoài trời Tặng kèm nguồn,"85,0k",3k+,Led Khánh Ngân,"16,5%",₫13.600,https://shopee.vn/product/120161792/26970786889,https://s.shopee.vn/9pYCeardaX
27852918552,Sữa Tắm Gội Toàn Thân Pigeon Cho Bé 2in1 700ml An Toàn Thơm Dịu Nhẹ Cho Da Bé,"138,0k",4k+,Giặt Là Yêu Thương,"16,5%",₫22.080,https://shopee.vn/product/718340863/27852918552,https://s.shopee.vn/9Kbw3ftXbS
3067995243,Gối bầu cánh tiên Carekids gối bà bầu giảm đau lưng đỡ bụng cho bà bầu một giấc ngủ ngon Vipkid,"48,0k",70k+,VipKid-Gian hàng cho mẹ và bé,"6,5%",₫2.880,https://shopee.vn/product/20390895/3067995243,https://s.shopee.vn/9UvMFysuGV
50402911249,Truyện - Monster Deluxe Edition ( Quà ),"136,9k",361,Ngọc Huy Books,"7,5%",₫9.583,https://shopee.vn/product/721496535/50402911249,https://s.shopee.vn/6KyKUA4xgu
27917886849,Combo 12 Món Trang Trí Tết 2026 Set Decor Treo Tường Ngày Tết Chất Liệu Giấy Nhung Đỏ In Chữ Đen Phủ Bóng 1m2x2m,"99,0k",1k+,Đông xưởng Tân Thanh,"10,5%",₫9.900,https://shopee.vn/product/1016824956/27917886849,https://s.shopee.vn/6VHkgT4KLx
14815545042,"Tăm bông trẻ em Vcool kháng khuẩn ( hộp 200 que, 400 que lõi giấy) cho bé sơ sinh ngoáy tai, mũi hanhdecalkhosimebe","18,0k",60k+,BABICO - Kho Sỉ Mẹ Bé,"11,5%",₫1.980,https://shopee.vn/product/433883/14815545042,https://s.shopee.vn/60LU5Y6EMs
7988383802,"Trà Dưỡng Nhan Bảy Vị An Nhiên thanh nhiệt, an thần, sinh huyết dưỡng âm, Nguyên liệu Sấy lạnh","185,0k",10k+,Tiệm trà An Nhiên - Tea & More,"19,5%",₫35.150,https://shopee.vn/product/416741194/7988383802,https://s.shopee.vn/6AeuHr5b1v
