Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
19655436760,"Tẩy dầu mỡ nhà bếp, tẩy xoong nồi,  hút mùi, bếp gas, bếp từ, đáy xoong, đáy chảo HiKit 500ml","55,0k",200k+,Chăm Sóc Nhà Cửa,"19,5%",₫10.450,https://shopee.vn/product/793443307/19655436760,https://s.shopee.vn/50SyTkj14p
14815545042,"Tăm bông trẻ em Vcool kháng khuẩn ( hộp 200 que, 400 que lõi giấy) cho bé sơ sinh ngoáy tai, mũi hanhdecalkhosimebe","18,0k",60k+,BABICO - Kho Sỉ Mẹ Bé,"11,5%",₫1.980,https://shopee.vn/product/433883/14815545042,https://s.shopee.vn/2qOTtlrGTQ
21594868676,Sách - Razkids in rời từ Level AA đến Level H - Kèm file nghe,"395,0k",290,TỦ SÁCH NHÀ AN,"13,5%",₫51.350,https://shopee.vn/product/734119334/21594868676,https://s.shopee.vn/2g53hSrtoP
27489325875,Roblox 99 Nights in the Forest [Mua một tặng hai] Trò chơi kinh dị Búp bê sang trọng Gối búp bê nai sừng tấm Quà tặng sinh nhật cho trẻ em,"149,1k",11,QingSeXiXi.vn,"4,5%",₫5.962,https://shopee.vn/product/891382435/27489325875,https://s.shopee.vn/3B1KINpznW
29300443002,"ICON bàn học gấp gọn Bàn làm việc cho máy tính xách tay, thích hợp cho sinh viên và người đi làm","56,7k",40k+,ICON-M,"14,5%",₫7.938,https://shopee.vn/product/1158229156/29300443002,https://s.shopee.vn/30hu64qd8V
24277782312,"Robot hút bụi thông minh KAW - Cao cấp chính hãng, lực hút 3200Pa, làm sạch 200m², bảo hành 12 tháng","4,7tr",40k+,ENJOY LIFE VN,"11,5%",₫514.910,https://shopee.vn/product/541620823/24277782312,https://s.shopee.vn/3VeAgzoj7c
22077828376,Bộ sổ chép kinh Thanh Tẩy: Sám Hối - Dược Sư - Chú Đại Bi,"450,0k",93,Sổ chép Kinh Trí Huệ,"34,5%",₫153.000,https://shopee.vn/product/974315185/22077828376,https://s.shopee.vn/3LKkUgpMSb
21081350503,"Sổ tay ghi chép Onery Bìa Da PU - 360 Trang - Khổ Giấy A5 - Làm quà tặng sang trọng, ý nghĩa","49,5k",10k+,Onery.Stationery,"13,5%",₫6.435,https://shopee.vn/product/1024364843/21081350503,https://s.shopee.vn/3qH15bnSRi
27153977933,"Ổ Cắm Điện Đa Năng GODWELL Chịu Tải 2500W Dây Dài 1.8-4m, Có Cổng USB, Chốt Bấm Chống Giật An Toàn","52,0k",100k+,GodWell Việt Nam,"12,5%",₫6.240,https://shopee.vn/product/718541345/27153977933,https://s.shopee.vn/3fxatIo5mh
27801341187,"Xịt kháng khuẩn dịu da DIZIGONE Baby 300ml: Xịt tay chân, đồ gặm nướu, đồ chơi, đồ dùng của bé, phòng bệnh cho bé","165,0k",40k+,Dizigone Official,"14,5%",₫23.100,https://shopee.vn/product/326118650/27801341187,https://s.shopee.vn/1Vt6JJwLBI
29275387583,Sách - Vở Bài Tập Toán 3 (Kết nối tri thức với cuộc sống) - Bán kèm bút #huongbook,"57,0k",40,HuongBook_Sách tham khảo,"4,5%",₫2.280,https://shopee.vn/product/910019566/29275387583,https://s.shopee.vn/1LZg70wyWH
29467840808,"[Thùng 10 Bịch] Giấy Ăn Rút Treo Tường SIPIAO Hoa Mẫu Đơn Tím, Khăn Giấy Ăn 4 Lớp, Tặng Kèm Móc Treo, Bịch/1000 Tờ","40,2k",40k+,1997FINEMAX.VN,8%,₫3.213,https://shopee.vn/product/934890172/29467840808,https://s.shopee.vn/1qVwhvv4VO
22480047077,"⭐️[𝑴𝒊𝒆̂̃𝒏 𝑺𝒊́𝒑]Xe Đẩy Gấp Gọn Cho Bé Yêu, Bé Đi Du Lịch Đi Chơi Siêu Gọn Nhẹ-tặng miếng lót","285,0k",80k+,shopbaochau.,"4,5%",₫11.400,https://shopee.vn/product/1073036789/22480047077,https://s.shopee.vn/1gCWVcvhqN
