Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
20892375873,"Lô 3 cuộn túi rác màu (1kg) túi đựng rác sinh học tự phân hủy, thành túi dày hạn chế rỉ nước","21,8k",100k+,TIỆM GIA DỤNG THE ONE,"8,5%",₫1.740,https://shopee.vn/product/701911364/20892375873,https://s.shopee.vn/LhGpmlhB5
1987752054,"[1kg] túi đựng rác có quai, bao rác đen tự phân hủy, túi nilong dựng hàng siêu dai, sire 5kg,10kg,20kg,30kg,50kg","33,0k",100k+,Fu999,"4,5%",₫1.320,https://shopee.vn/product/29936044/1987752054,https://s.shopee.vn/qdXQhjnAC
28724320465,"Lô túi rác tiện dụng Inochi (4 cuộn) - Túi rác đen/màu tự hủy, an toàn , có quai xách tiện lợi","63,2k",20k+,Inochi Việt Nam Mall,"14,5%",₫8.848,https://shopee.vn/product/634792583/28724320465,https://s.shopee.vn/gK7EOkQVB
18696382065,COMBO 15 Cuộn Túi Đựng Rác Đen KONOHA Tự Phân Hủy - Bịch Đựng Rác Kích Thước 55*65CM,"21,0k",70k+,Gia Dụng Tiện Ích KONOHA,"9,5%",₫1.890,https://shopee.vn/product/724644824/18696382065,https://s.shopee.vn/1BGNpJiWUI
25892454268,Túi đựng rác có dây rút SWEET HOME túi rác tự phân hủy  size 55x60 cm có quai xách và chống rò nước,"60,8k",20k+,Sweet home 92,"14,5%",₫8.506,https://shopee.vn/product/528677227/25892454268,https://s.shopee.vn/10wxd0j9pH
26577017286,"Túi Đựng Rác Tự Phân Hủy HGHOME Cỡ Lớn 55x65cm, Cuộn Dày Dặn Không Lõi Tiện Dụng Cho Gia Đình","22,0k",30k+,Gia Dụng Hà Nội 86,"12,5%",₫2.640,https://shopee.vn/product/1407976733/26577017286,https://s.shopee.vn/1VtEDvhFoO
16539778234,Set 3 cuộn túi rác đen tự phân hủy kích thước 55x65cm,"29,4k",80k+,Tín Phong Shop,"19,5%",₫5.586,https://shopee.vn/product/126828504/16539778234,https://s.shopee.vn/1LZo1cht9N
25938916220,Bịch 50 Túi Đựng Rác Hương Ngải Cứu Chống Côn Trùng Ruồi Muỗi JYoohome Túi Rác Tự Hủy Có Dây Rút,"25,0k",10k+,JYooHome Official Store,"14,5%",₫3.500,https://shopee.vn/product/745623397/25938916220,https://s.shopee.vn/1qW4cXfz8U
24819102380,SET 3 CUỘN TÚI ĐỰNG RÁC TỰ PHÂN HỦY SINH 55x65 cm,"6,4k",500k+,Shop Đồ Gia Dụng Linh Chi,"7,5%",₫446,https://shopee.vn/product/1205484883/24819102380,https://s.shopee.vn/1gCeQEgcTT
40756143394,Combo 5 Sét 15 Cuộn túi đựng rác đen tự phân hủy Size đại 55x65 cm  - 2H9,"11,1k",10k+,Gia Dụng 2H,"6,5%",₫668,https://shopee.vn/product/1124996528/40756143394,https://s.shopee.vn/2B8v19eiSa
8235596190,Túi rác đen 2 quai tiện dụng (4 cuộn 1 kg)INOCHI tự hủy thân thiện môi trường nhiều Size 10L-25L-50L,"59,3k",10k+,INOCHI    ,"14,5%",₫8.295,https://shopee.vn/product/415026290/8235596190,https://s.shopee.vn/20pUoqfLnZ
27602165886,"[ Combo 12 ] Cuộn Túi Nilong 500gr Đen - Tự Phân Hủy, Siêu Dày, Tiện Lợi Cho Gia Đình","27,0k",10k+,HAPPY&HOUSES,"14,5%",₫3.780,https://shopee.vn/product/375938299/27602165886,https://s.shopee.vn/2VllPldRmg
