Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
23660751290,Gối ngủ công thái học PTLUXURY chống đau mỏi cổ vai gáy hạn chế ngáy giúp giấc ngủ ngon,"75,0k",20k+,ĐỒ DÙNG TIỆN ÍCH SG,"6,5%",₫4.500,https://shopee.vn/product/984839978/23660751290,https://s.shopee.vn/8zzQmv4N16
25951674892,100 Phong Bao Lì Xì Tết Đỏ 2026 Chọn Mẫu Và Kèm Túi Bóng Mẫu Truyền Thống Đón Tết Bính Ngọ,"56,2k",845,babykid247,"19,5%",₫10.678,https://shopee.vn/product/75004324/25951674892,https://s.shopee.vn/9AIqzE3jg9
27779420342,"Dụng cụ hút mũi cho bé kéo tay chất liệu nhựa nguyên sinh , lực hút mạnh , an toàn cho bé - PTLUXURY","75,0k",20k+,ĐỒ DÙNG TIỆN ÍCH SG,"6,5%",₫4.500,https://shopee.vn/product/984839978/27779420342,https://s.shopee.vn/8fMaOJ5dh4
42859545836,Máy Hút Bụi Cầm Tay TAMASHIO Không Dây Nhật Bản 6 Đầu Hút Bảo Hành 12 Tháng SP01,"185,0k",50k+,HÚT BỤI NỘI ĐỊA TRUNG,"17,5%",₫31.450,https://shopee.vn/product/1564606133/42859545836,https://s.shopee.vn/8pg0ac50M7
22259515682,Sữa tắm gội cho bé Cetaphil Baby Gentle Wash & Shampoo 400ML & 230ML,"260,0k",9k+,QUEEN BEAUTY STORE,"12,5%",₫31.200,https://shopee.vn/product/4661111/22259515682,https://s.shopee.vn/8Kjjzh6uN2
29203780635,Gặm nướu silicone Emoon cao cấp cho bé siêu mềm giúp giảm ngứa nướu an toàn cho bé (Có hộp bảo quản),"145,0k",30k+,EMOON.House,"11,5%",₫15.950,https://shopee.vn/product/543229869/29203780635,https://s.shopee.vn/8V3AC06H25
22041736497,"( Có Sẵn )Ghế ngồi ô tô cao cấp chuẩn ii-Size Quốc Tế, bảo hành 2 năm , ghế ngồi ô tô honalife","1,9tr",20k+,Honalife Store,"6,5%",₫115.680,https://shopee.vn/product/240881396/22041736497,https://s.shopee.vn/806tb58B30
28314063511,Chăn lông cừu COCO mềm mịn mền nỉ lông thỏ kích thước 2m*2m3 siêu ấm cao cấp không rụng lông hàng lọai 1,"236,0k",1k+,CHĂN GA GỐI ĐỆM GIÁ RẺ 1,"19,5%",₫44.840,https://shopee.vn/product/1381275862/28314063511,https://s.shopee.vn/8AQJnO7Xi3
12121375005,Cốt Gừng Tràm Khuynh Diệp Tắm Bé Ngâm Chân 500ml [Sỉ rẻ nhất],"100,0k",20k+,Mật Ong Điềm Kim,"14,5%",₫14.000,https://shopee.vn/product/484256/12121375005,https://s.shopee.vn/AKUoNMzIJU
40258467426,Robot Tank Fidget Đồ chơi biến hình xe tăng Robot Fidget Spinner để giảm căng thẳng ADHD,"55,0k",770,dkvwky.vn,"7,5%",₫3.850,https://shopee.vn/product/1366439628/40258467426,https://s.shopee.vn/AUoEZfyeyX
27706747428,"Sạc Dự Phòng 30000mah Sạc Nhanh Màn Hình Led, Tích Hợp 2 Đầu Sạc Tiện Dụng, Sạc Cho Iphone Và Android","210,0k",400k+,HOCO TECK,"14,5%",₫29.400,https://shopee.vn/product/699159587/27706747428,https://s.shopee.vn/9zrxyl0YzS
6833655915,SPECIAL COMBO chăm sóc da mụn toàn diện Cocoon - tặng 1 thạch bí đao Cocoon 30ml,"940,0k",1k+,Cocoon Vietnam Chính Hãng,"12,5%",₫112.800,https://shopee.vn/product/175753395/6833655915,https://s.shopee.vn/AABOB3zveV
29675368137,Miếng dán cắt tóc kẹp tóc cho bé gái dễ thương cho bé không làm tổn thương tóc,"28,5k",20k+,FashionAcc3.vn,12%,₫3.416,https://shopee.vn/product/483413700/29675368137,https://s.shopee.vn/9fF7a91pfQ
14439680395,(GIFT) Gấu bông trái bơ tròn nhỏ size 15cm cho bé xinh cute Gấu Xinh G12.1,"36,0k",90k+,Gấu Xinh - Gấu Bông Cao Cấp,"14,5%",₫5.040,https://shopee.vn/product/622469888/14439680395,https://s.shopee.vn/9pYXmS1CKT
2657129141,"Đèn Ngủ Cảm Ứng Bóng Led Cảm Biến Ánh Sáng Tự Động Bật Tắt, Đèn Decor Phòng Ngủ Mini Cắm Điện Trực Tiếp Hình Dễ Thương","28,0k",100k+,Shop Liên Tít - Home Decor,"14,5%",₫3.920,https://shopee.vn/product/402393/2657129141,https://s.shopee.vn/9KcHBX36LO
10813919352,MEMBERGIFT - HÀNG TẶNG KO BÁN - Tẩy da chết môi cà phê Đắk Lắk Cocoon môi ẩm mềm 5g,"500,0k",481,Cocoon Vietnam Chính Hãng,"12,5%",₫60.000,https://shopee.vn/product/175753395/10813919352,https://s.shopee.vn/9UvhNq2T0R
22248341413,"Bánh thuyền siêu hạt ăn kiêng, bánh thuyền mix hạt dinh dưỡng Annut ăn kiêng - Túi 500g","110,0k",3k+,Nông Sản Annut.,"14,5%",₫15.400,https://shopee.vn/product/502570441/22248341413,https://s.shopee.vn/10x9GDYpFo
11526582452,"Tổng hợp đồ chơi nhà tắm cho bé, đồ chơi phun nước trong phòng tắm","70,0k",50k+,Đồ Chơi ZOZO,"7,5%",₫4.900,https://shopee.vn/product/466965128/11526582452,https://s.shopee.vn/1BGZSWYBur
22462146880,Ấm Siêu Tốc Đun Nước Dung Tích 2.5 Lít Bình Siêu Tốc 2 Lớp Cách Nhiệt Tự Ngắt Khi Sôi Công Suất 1500W - ST3,"169,0k",500k+,Gia Dụng Việt_123,"12,5%",₫20.280,https://shopee.vn/product/543219209/22462146880,https://s.shopee.vn/gKIrba5vm
14668335106,"Son Dưỡng Hồng Môi Lựu Đỏ CELIO 10g giúp giảm thâm, hồng môi dưỡng ẩm căng mọng quyến rũ","99,0k",40k+,Celio  Store,"19,5%",₫18.810,https://shopee.vn/product/422385389/14668335106,https://s.shopee.vn/qdj3uZSap
