Mã sản phẩm,Tên sản phẩm,Giá,Doanh thu,Tên cửa hàng,Tỉ lệ hoa hồng,Hoa hồng,Link sản phẩm,Link ưu đãi
26622571562,"Bao lì xì tết 2026, Combo 50 bao lì xì tết Bính Ngọ, lì xì tết hottrend đẹp giá rẻ","25,0k",4k+,Gia Dụng 1985,"12,5%",₫3.000,https://shopee.vn/product/1409495436/26622571562,https://s.shopee.vn/AABR1zCsiw
54200999615,"Bao lì xì Tết Bính Ngọ 2026, Set 48 bao lì xì Tết Hoa Nhí thiết kế độc quyền chất liệu giấy C150 loại tốt","18,0k",10k+,THIENLONG PHARMA,"9,5%",₫1.616,https://shopee.vn/product/187219278/54200999615,https://s.shopee.vn/9zs0pgDW3v
24858324687,"[Sỉ 120 cái] Bao lì xì tết 2026, lì xì Tết Đến Xuân Về thiết kế mới nhất giấy C150 cán màn màu in sắc nét","63,0k",9k+,THIENLONG PHARMA,"9,5%",₫5.666,https://shopee.vn/product/187219278/24858324687,https://s.shopee.vn/9pYadNE9Ou
44176243590,"Combo 50 Bao Lì Xì Tết 2026 - Mẫu Mới Độc Lạ, Giấy Dày In Sắc Nét, Lì Xì Quà Tặng Tết","10,0k",8k+,Tổng Kho Đồ Lì Xì - Tết 2026,"11,5%",₫1.100,https://shopee.vn/product/1657055492/44176243590,https://s.shopee.vn/9fFAR4Emjt
20661335080,"Bao lì xì ngăn 2, 6, 10, 20 ngăn tết mẫu 2026 hình đầu Lân, Rồng, Ngựa Tết Bính Ngọ bao lì xì xếp lớp sang trọng","7,5k",20k+,Lana Queen ,"14,5%",₫1.050,https://shopee.vn/product/33329184/20661335080,https://s.shopee.vn/9UvkElFQ4s
46050225374,"Combo 50 Bao Lì Xì Truyền Thống Tết Bính Ngọ 2026, Bộ Lì Xì Tết 50 Cái May Mắn Nhiều Mẫu Dễ Thương","22,0k",4k+,Be You shop,"14,5%",₫3.080,https://shopee.vn/product/284175510/46050225374,https://s.shopee.vn/9KcK2SG3Pr
29519594613,"Combo 25/50/100 bao lì xì Tết 2026, lì xì Chi bi đáng yêu, bao lì xì phản quang dễ thương cho bé","21,0k",7k+,HGB Shop,"11,5%",₫2.310,https://shopee.vn/product/1339468277/29519594613,https://s.shopee.vn/6VI8fFQqAK
29016412955,"Bao lì xì xếp ngăn 2 - 6 - 10 ngăn 2026, bao lì xì xếp lớp sang trọng mang lại may mắn tài lộc","11,5k",10k+,Tổng kho lì xì tết,"15,5%",₫1.725,https://shopee.vn/product/111109565/29016412955,https://s.shopee.vn/6KyiSwRTVJ
48600307826,"Bao Lì Xì Popup 3D Cao Cấp Tết Bính Ngọ 2026, Lì Xì Mẫu Thiết Kế Đẹp Sang Trọng – BEYOU DIY","13,0k",10k+,Be You shop,"14,5%",₫1.820,https://shopee.vn/product/284175510/48600307826,https://s.shopee.vn/6AfIGdS6qI
26515895299,"Bao Lì Xì 💖 COMBO 100 Lì Xì Tết 2026 REE Bedding Xuân Bính Ngọ cao cấp đủ mẫu đỏ, vàng, xanh","32,0k",10k+,reebedding.officialstore,"10,5%",₫3.200,https://shopee.vn/product/859267366/26515895299,https://s.shopee.vn/60Ls4KSkBH
7904033215,Bao Lì Xì ⚡ Combo 100 Bao Lì Xì Tết 2026 Bính Ngọ Tổng Hợp đủ Mẫu,"32,0k",60k+,Phụ Kiện Giá Sỉ Aha24h,"10,5%",₫3.200,https://shopee.vn/product/6074305/7904033215,https://s.shopee.vn/5q2Rs1TNWG
19169806424,"Bộ Bao Lì Xì Gieo Quẻ Tết 2026 năm Bính Ngọ ,lì xì rút quẻ hình trụ 6 cạnh in bóng cao cấp, 1 bộ gồm 1 hộp và 12 thẻ rút","16,8k",10k+,Xưởng in lì xì tết sỉ lẻ 2026,"14,5%",₫2.352,https://shopee.vn/product/53042950/19169806424,https://s.shopee.vn/5fj1fiU0rF
25460234767,"[HOẢ TỐC HCM] Set 6 Bao Lì Xì 2026 Popup Cao Cấp, Lì Xì Tết Bính Ngọ Hoạ Tiết 3D Độc Đáo - TAYTA","83,3k",10k+,TAYTA Group,"12,5%",₫9.996,https://shopee.vn/product/66513379/25460234767,https://s.shopee.vn/5VPbTPUeCE
50904036038,🧧 Bao Lì Xì Thêu Giả 5D Hình Ngựa 🐎 Mã Thành Công – Lì Xì Tết 2026 🎉 May Mắn 🍀 Cao Cấp,"44,8k",4k+,Siêu Thị Tiện Lợi Hợp Bình,"14,5%",₫6.272,https://shopee.vn/product/41943887/50904036038,https://s.shopee.vn/5L6BH6VHXD
24786516717,"Combo 50 bao lì xì vitage, lì xì truyền thống Bính Ngọ giá rẻ sang trong Tết 2026","38,5k",2k+,Tổng Kho Gia Dụng NTB,"13,5%",₫5.005,https://shopee.vn/product/1367776597/24786516717,https://s.shopee.vn/7pnWFhLlSi
57853220738,"Bao lì xì tết Bính Ngọ 2026 ,Combo 50 cái lì xì [200 mẫu ] thiết kế đẹp đôc đáo được chọn mẫu","30,0k",1k+,MOCA_VN,"14,5%",₫4.200,https://shopee.vn/product/779091641/57853220738,https://s.shopee.vn/7fU63OMOnh
